,id,name,season,number,type,airdate,airstamp,runtime,rating,summary,image,medium,original
10,1214222,Journey Into Night,2,1,regular,2018-04-22,2018-04-23T01:00:00+00:00,74,{'average': 7.8},"In the aftermath of the host rebellion, the rescue team finds Bernard and the new Head of Operations asks for his help. Meanwhile, Delores promises to show Teddy the truth, and Maeve convinces Lee and Hector to help her find her daughter.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/152/381118.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/152/381118.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/152/381118.jpg,https://static.tvmaze.com/uploads/images/original_untouched/152/381118.jpg
11,1440915,Reunion,2,2,regular,2018-04-29,2018-04-30T01:00:00+00:00,60,{'average': 7.7},"Dolores looks for allies sympathetic to her cause and shows Teddy the truth of his existence. In the past, Dolores gets her first taste of the outside world and William shows her a weapon of mass destruction.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/153/382957.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/153/382957.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/153/382957.jpg,https://static.tvmaze.com/uploads/images/original_untouched/153/382957.jpg
12,1440916,Virtù e Fortuna,2,3,regular,2018-05-06,2018-05-07T01:00:00+00:00,60,{'average': 7.7},"While Delores makes a deal with the Confederados, Maeve and her group find Felix and Sylvester. Meanwhile, a new Guest comes to Westworld, and Bernard has a meeting of minds with Peter.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/154/386069.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/154/386069.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/154/386069.jpg,https://static.tvmaze.com/uploads/images/original_untouched/154/386069.jpg
13,1440917,The Riddle of the Sphinx,2,4,regular,2018-05-13,2018-05-14T01:00:00+00:00,71,{'average': 8},"William pays his recuperating father-in-law several visits. Meanwhile, the Man continues to play Robert's game, and Bernard remembers some of his missing time.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/155/387630.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/155/387630.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/155/387630.jpg,https://static.tvmaze.com/uploads/images/original_untouched/155/387630.jpg
14,1446362,Akane No Mai,2,5,regular,2018-05-20,2018-05-21T01:00:00+00:00,60,{'average': 7.6},"While Maeve and her people explore Shogun World, Delores realizes that the Teddy she knows can't be a part of the new world coming.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/155/389365.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/155/389365.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/155/389365.jpg,https://static.tvmaze.com/uploads/images/original_untouched/155/389365.jpg
15,1453278,Phase Space,2,6,regular,2018-05-27,2018-05-28T01:00:00+00:00,60,{'average': 7.7},"Maeve finds her daughter, Delores finds the ""real"" Teddy, Grace finds her father, and Charlotte and Stubbs find Peter.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/156/390990.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/156/390990.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/156/390990.jpg,https://static.tvmaze.com/uploads/images/original_untouched/156/390990.jpg
16,1459961,Les Écorchés,2,7,regular,2018-06-03,2018-06-04T01:00:00+00:00,60,{'average': 7.9},"Charlotte and Bernard review Bernard's memories to discover what happened to the missing control unit. Meanwhile, Robert has a chat with Bernard, and Maeve confronts her former tormentor.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/156/392143.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/156/392143.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/156/392143.jpg,https://static.tvmaze.com/uploads/images/original_untouched/156/392143.jpg
17,1459788,Kiksuya,2,8,regular,2018-06-10,2018-06-11T01:00:00+00:00,60,{'average': 8.7},"Another of Westworld's Host revolutionaries is revealed. Meanwhile, Emily finds the Man and convinces the Ghost Nation to hand him over to her to ensure his suffering.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/157/393811.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/157/393811.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/157/393811.jpg,https://static.tvmaze.com/uploads/images/original_untouched/157/393811.jpg
18,1459789,Vanishing Point,2,9,regular,2018-06-17,2018-06-18T01:00:00+00:00,60,{'average': 8.4},"The Man learns that his grip on reality isn't what he thought, as he considers how his wife died. Meanwhile, Dolores continues her trek across the park to the Valley Beyond, and Bernard receives another visit from Robert.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/158/395754.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/158/395754.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/158/395754.jpg,https://static.tvmaze.com/uploads/images/original_untouched/158/395754.jpg
19,1459790,The Passenger,2,10,regular,2018-06-24,2018-06-25T01:00:00+00:00,90,{'average': 8.5},"The Man faces a personal reckoning, while Akecheta and the others find the door. Meanwhile, Bernard meets with Robert one last time after choosing how to deal with Dolores.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/158/397018.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/158/397018.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/158/397018.jpg,https://static.tvmaze.com/uploads/images/original_untouched/158/397018.jpg
20,1789333,Parce Domine,3,1,regular,2020-03-15,2020-03-16T01:00:00+00:00,70,{'average': 8},"If you're stuck in a loop, try walking in a straight line.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/246/615760.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/246/615760.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/246/615760.jpg,https://static.tvmaze.com/uploads/images/original_untouched/246/615760.jpg
21,1800146,The Winter Line,3,2,regular,2020-03-22,2020-03-23T01:00:00+00:00,60,{'average': 7.8},People put up a lot of walls. Bring a sledgehammer to your life.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/247/619379.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/247/619379.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/247/619379.jpg,https://static.tvmaze.com/uploads/images/original_untouched/247/619379.jpg
22,1800147,The Absence of Field,3,3,regular,2020-03-29,2020-03-30T01:00:00+00:00,60,{'average': 7.8},"If you don't like what you see in the mirror, don't blame the mirror.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/247/619381.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/247/619381.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/247/619381.jpg,https://static.tvmaze.com/uploads/images/original_untouched/247/619381.jpg
23,1800148,The Mother of Exiles,3,4,regular,2020-04-05,2020-04-06T01:00:00+00:00,70,{'average': 8},The truth doesn't always set you free.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/249/623071.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/249/623071.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/249/623071.jpg,https://static.tvmaze.com/uploads/images/original_untouched/249/623071.jpg
24,1800149,Genre,3,5,regular,2020-04-12,2020-04-13T01:00:00+00:00,60,{'average': 7.9},Just say no.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/251/629355.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/251/629355.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/251/629355.jpg,https://static.tvmaze.com/uploads/images/original_untouched/251/629355.jpg
25,1829375,Decoherence,3,6,regular,2020-04-19,2020-04-20T01:00:00+00:00,60,{'average': 7.5},Do a lot of people tell you that you need therapy?,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/252/632212.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/252/632212.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/252/632212.jpg,https://static.tvmaze.com/uploads/images/original_untouched/252/632212.jpg
26,1800151,Passed Pawn,3,7,regular,2020-04-26,2020-04-27T01:00:00+00:00,60,{'average': 7.5},"A real friend is one who walks in when the rest of the world walks out. Caleb gets an insight on the true nature of his past; Dolores seeks out Rehoboam's predecessor, while Maeve tracks her down; Bernard, Stubbs, and William escape from all the chaos. ","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/254/635599.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/254/635599.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/254/635599.jpg,https://static.tvmaze.com/uploads/images/original_untouched/254/635599.jpg
27,1800152,Crisis Theory,3,8,regular,2020-05-03,2020-05-04T01:00:00+00:00,75,{'average': 7.7},Time to face the music. Dolores' true intentions are revealed; Bernard confronts a ghost from his past; Maeve is conflicted; Serac's voice is dominant; Caleb's role is revealed; and William faces an unexpected villain.  ,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/254/635189.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/254/635189.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/254/635189.jpg,https://static.tvmaze.com/uploads/images/original_untouched/254/635189.jpg
28,2326389,The Auguries,4,1,regular,2022-06-26,2022-06-27T01:00:00+00:00,55,{'average': 7.1},Hello again. Don't worry about a thing. It's all in your head.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/414/1035413.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/414/1035413.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/414/1035413.jpg,https://static.tvmaze.com/uploads/images/original_untouched/414/1035413.jpg
29,2326655,Well Enough Alone,4,2,regular,2022-07-03,2022-07-04T01:00:00+00:00,55,{'average': 7.4},I heard a fly buzz when I died.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/414/1036909.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/414/1036909.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/414/1036909.jpg,https://static.tvmaze.com/uploads/images/original_untouched/414/1036909.jpg
30,2326656,Années Folles,4,3,regular,2022-07-10,2022-07-11T01:00:00+00:00,55,{'average': 7.6},"You can never go back again. But if you do, bring a shovel.","{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/415/1038520.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/415/1038520.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/415/1038520.jpg,https://static.tvmaze.com/uploads/images/original_untouched/415/1038520.jpg
31,2326657,Generation Loss,4,4,regular,2022-07-17,2022-07-18T01:00:00+00:00,51,{'average': 7.7},Should auld acquaintance be forgot and days of auld lang syne?,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/415/1039531.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/415/1039531.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/415/1039531.jpg,https://static.tvmaze.com/uploads/images/original_untouched/415/1039531.jpg
32,2326658,Zhuangzi,4,5,regular,2022-07-24,2022-07-25T01:00:00+00:00,60,{'average': 7.8},God is bored.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/416/1042460.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/416/1042460.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/416/1042460.jpg,https://static.tvmaze.com/uploads/images/original_untouched/416/1042460.jpg
33,2326659,Fidelity,4,6,regular,2022-07-31,2022-08-01T01:00:00+00:00,60,{'average': 7.5},To thine own selves be true.,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/417/1044302.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/417/1044302.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/417/1044302.jpg,https://static.tvmaze.com/uploads/images/original_untouched/417/1044302.jpg
34,2326660,Metanoia,4,7,regular,2022-08-07,2022-08-08T01:00:00+00:00,60,{'average': 7.7},You want to have a drink at a time like this?,"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/418/1045645.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/418/1045645.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/418/1045645.jpg,https://static.tvmaze.com/uploads/images/original_untouched/418/1045645.jpg
35,2326661,"Que Será, Será",4,8,regular,2022-08-14,2022-08-15T01:00:00+00:00,60,{'average': 7.5},Like what I've done with the place? (I just cranked it to expert level.),"{'medium': 'https://static.tvmaze.com/uploads/images/medium_landscape/418/1046925.jpg', 'original': 'https://static.tvmaze.com/uploads/images/original_untouched/418/1046925.jpg'}",https://static.tvmaze.com/uploads/images/medium_landscape/418/1046925.jpg,https://static.tvmaze.com/uploads/images/original_untouched/418/1046925.jpg
